sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
80,0.8386456589767687,0.5301774399411545,10,1,9,1,0,0,8.752110955683822,200,4
81,0.8409715600813378,0.11460000024558319,0,0,0,2,0,5,11.325094199539988,200,2
82,0.38694109442766234,0.1759553058734889,8,4,4,0,0,4,8.372572536028235,189,3
83,0.6624516554912178,0.37885355939488663,10,1,9,0,0,0,8.502332043646494,93,2
84,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
85,0.4608788014200303,0.23323037127605234,4,2,2,0,0,0,9.546069047907874,183,3
86,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
87,0.10983309939617122,0.08061247074197007,0,0,0,1,0,0,9.260525897294688,200,3
88,0.9313597992886807,0.3316199848556255,0,0,0,0,0,0,8.947129535387832,194,3
89,0.6941985594165551,0.4106313202405197,10,1,9,0,0,0,9.81217857499957,200,3
90,0.7036406027442681,0.41429285489056344,10,1,9,0,0,0,9.190190329620105,198,3
91,0.04289108941506767,0.02358058634810603,0,0,0,1,0,0,9.761947144026822,200,2
92,0.6833335855647512,0.4001181207633945,10,1,9,1,0,0,9.199112190255459,200,3
93,0.35981276910761867,0.13728492350371704,9,3,6,1,0,2,9.678564768193432,200,3
94,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
95,1.4229882088020633,0.2685144149769014,0,0,0,2,0,7,11.385710553155452,200,3
96,0.6919547011725781,0.40869585438404715,10,1,9,1,0,0,9.197423870067249,200,3
97,0.6789738291292212,0.3939290300785648,10,1,9,1,0,0,9.198249091517068,200,3
98,0.18219061832190148,0.1269770821896474,0,0,0,0,0,1,9.131934025760723,182,3
99,0.6832817777237513,0.400393243014253,10,1,9,1,0,0,7.950179017690663,200,3
100,0.2285977506813514,0.15733095186856536,0,0,0,1,0,0,7.557128370921485,200,3
101,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.160608095748914,200,3
102,0.04566541016490543,0.039904631711163145,0,0,0,1,0,0,6.855125825924086,200,2
103,0.04445812954808422,0.025465023838340022,0,0,0,1,0,0,9.114679756677699,200,2
104,0.9008370337413929,0.5631491044422678,10,1,9,0,0,0,8.679157007551725,188,4
105,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.935840857138679,200,3
106,0.03259507799278545,0.01745217532286601,0,0,0,1,0,0,9.973758970449486,200,2
107,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.90026786828991,200,3
108,0.3670311712797612,0.16904295126770158,11,7,4,0,0,0,12.7898294252258,138,3
109,0.47335051727898403,0.2618493428479071,0,0,0,1,0,0,8.920660939760149,200,3
110,1.4042466704476275,0.6054309179219949,9,2,7,0,0,1,9.76432786032887,85,3
111,0.04289108941506767,0.02358058634810603,0,0,0,1,0,0,9.761947144026822,200,2
112,0.3188805020342317,0.14007130960016992,11,4,7,1,0,0,9.940647345547005,200,3
113,2.125815414732143,0.2582075748475159,0,0,0,2,0,5,13.544203020322353,200,2
114,0,0,0,0,0,0,0,0,9.6355722771685,85,1
115,0.03198633748160124,0.02394222300248125,0,0,0,1,0,0,8.431354568401652,200,2
116,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.935840857138679,200,3
117,0.03204632660528209,0.017996422061573123,0,0,0,1,0,0,10.03066251397137,200,2
118,0.30778307894105666,0.12793473394093188,11,4,7,0,0,0,10.094710791530474,85,2
119,0.30778307894105666,0.12793473394093188,11,4,7,0,0,0,10.094710791530474,85,2
120,0.04290362900856387,0.02101669232706163,0,0,0,1,0,0,9.737967342816235,200,2
121,0.3268472755431614,0.13283194914714153,11,7,4,1,0,0,9.915942973215836,200,3
122,0.6732175283907489,0.30759726781674557,0,0,0,1,0,4,10.507452101873936,200,3
123,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.935840857138679,200,3
124,1.5578780817228575,0.8835048401294312,11,4,7,1,0,0,9.31094507395964,200,4
125,0.3383790370589132,0.15465712300732054,11,4,7,0,0,0,9.940884915054015,199,3
126,0.7508880928990288,0.37947060248675196,4,2,2,1,0,0,9.407828993704662,200,3
127,0.30778307894105666,0.12793473394093188,11,4,7,0,0,0,10.094710791530474,85,2
128,0.3268363119292599,0.14593115600250503,11,4,7,1,0,0,9.935840857138679,200,3
